Problem,Order,Topic,Difficulty,LeetCode Link,Source List,Memory Cue,Target Time,Target Space,Status,Time Taken (mins),My Summary,My Approach,My Pattern,Mistakes,Retry Date,Notes
Insert Interval,130,Intervals,Medium,https://leetcode.com/problems/insert-interval/,https://neetcode.io/practice/practice/neetcode150,"Add intervals before, merge overlaps, then add after.",O(n),O(n) output,,,,,,,,
Merge Intervals,131,Intervals,Medium,https://leetcode.com/problems/merge-intervals/,https://neetcode.io/practice/practice/neetcode150,Sort by start; merge if next start <= current end.,O(n log n),O(n) output,,,,,,,,
Non-overlapping Intervals,132,Intervals,Medium,https://leetcode.com/problems/non-overlapping-intervals/,https://neetcode.io/practice/practice/neetcode150,Sort by end; greedily keep intervals ending earliest.,O(n log n),O(1) or O(n) sort,,,,,,,,
Meeting Rooms,133,Intervals,Easy,https://leetcode.com/problems/meeting-rooms/,https://neetcode.io/practice/practice/neetcode150,Sort by start; any overlap means cannot attend all.,O(n log n),O(1),,,,,,,,
Meeting Rooms II,134,Intervals,Medium,https://leetcode.com/problems/meeting-rooms-ii/,https://neetcode.io/practice/practice/neetcode150,Min-heap of end times or sweep starts/ends.,O(n log n),O(n),,,,,,,,
Minimum Interval to Include Each Query,135,Intervals,Hard,https://leetcode.com/problems/minimum-interval-to-include-each-query/,https://neetcode.io/practice/practice/neetcode150,Sort intervals and queries; heap candidate intervals by size.,O((n+q) log n),O(n),,,,,,,,
Rotate Image,136,Math & Geometry,Medium,https://leetcode.com/problems/rotate-image/,https://neetcode.io/practice/practice/neetcode150,Transpose matrix then reverse each row.,O(n^2),O(1),,,,,,,,
Spiral Matrix,137,Math & Geometry,Medium,https://leetcode.com/problems/spiral-matrix/,https://neetcode.io/practice/practice/neetcode150,Maintain top/bottom/left/right boundaries.,O(m*n),O(1) excluding output,,,,,,,,
Set Matrix Zeroes,138,Math & Geometry,Medium,https://leetcode.com/problems/set-matrix-zeroes/,https://neetcode.io/practice/practice/neetcode150,Use first row/col as markers.,O(m*n),O(1),,,,,,,,
Happy Number,139,Math & Geometry,Easy,https://leetcode.com/problems/happy-number/,https://neetcode.io/practice/practice/neetcode150,Detect cycle in digit-square-sum sequence.,O(log n),O(1),,,,,,,,
Plus One,140,Math & Geometry,Easy,https://leetcode.com/problems/plus-one/,https://neetcode.io/practice/practice/neetcode150,"Add from the last digit, carry backward.",O(n),O(1) or O(n) if new array,,,,,,,,
"Pow(x, n)",141,Math & Geometry,Medium,https://leetcode.com/problems/powx-n/,https://neetcode.io/practice/practice/neetcode150,Fast exponentiation by squaring.,O(log n),O(1),,,,,,,,
Multiply Strings,142,Math & Geometry,Medium,https://leetcode.com/problems/multiply-strings/,https://neetcode.io/practice/practice/neetcode150,Simulate grade-school multiplication with digit array.,O(m*n),O(m+n),,,,,,,,
Detect Squares,143,Math & Geometry,Medium,https://leetcode.com/problems/detect-squares/,https://neetcode.io/practice/practice/neetcode150,"Count points; for query, try diagonal points and multiply counts.",O(n) query / O(1) add,O(n),,,,,,,,
Single Number,144,Bit Manipulation,Easy,https://leetcode.com/problems/single-number/,https://neetcode.io/practice/practice/neetcode150,XOR all numbers; pairs cancel to zero.,O(n),O(1),,,,,,,,
Number of 1 Bits,145,Bit Manipulation,Easy,https://leetcode.com/problems/number-of-1-bits/,https://neetcode.io/practice/practice/neetcode150,Use n & (n - 1) to remove the lowest set bit.,O(32) or O(log n),O(1),,,,,,,,
Counting Bits,146,Bit Manipulation,Easy,https://leetcode.com/problems/counting-bits/,https://neetcode.io/practice/practice/neetcode150,dp[i] = dp[i >> 1] + (i & 1).,O(n),O(n),,,,,,,,
Reverse Bits,147,Bit Manipulation,Easy,https://leetcode.com/problems/reverse-bits/,https://neetcode.io/practice/practice/neetcode150,Shift result left and append lowest bit of n.,O(32),O(1),,,,,,,,
Missing Number,148,Bit Manipulation,Easy,https://leetcode.com/problems/missing-number/,https://neetcode.io/practice/practice/neetcode150,"XOR indexes and values, or use sum formula.",O(n),O(1),,,,,,,,
Sum of Two Integers,149,Bit Manipulation,Medium,https://leetcode.com/problems/sum-of-two-integers/,https://neetcode.io/practice/practice/neetcode150,Use XOR for sum without carry and AND<<1 for carry.,O(32),O(1),,,,,,,,
Reverse Integer,150,Bit Manipulation,Medium,https://leetcode.com/problems/reverse-integer/,https://neetcode.io/practice/practice/neetcode150,Pop digits and check 32-bit overflow before pushing.,O(log n),O(1),,,,,,,,
